País,Total_Casos,Fallecidos,Población,Tasa de mortalidad por millón de habitantes,Tasa de letalidad por cien habitantes
Kazajstán,155220,2259,18777000,120.30675826809394,1.4553536915345961
Kenia,61769,1103,53771000,20.512915884026707,1.7856853761595621
Kiribati,0,0,119000,0.0,
Kuwait,131743,811,4271000,189.88527276984314,0.6155924792968127
Kirguistán,62819,1177,6524000,180.4107909258124,1.873636956971617
República Democrática Popular Lao,24,0,7276000,0.0,0.0
Letonia,7880,96,1886000,50.90137857900318,1.2182741116751268
Líbano,94236,723,6825000,105.93406593406594,0.7672227174328282
Lesoto,1963,44,2142000,20.541549953314657,2.2414671421293937
Liberia,1442,82,5058000,16.211941478845393,5.6865464632454925
Libia,68117,929,6871000,135.20593800029107,1.3638298809401472
Liechtenstein,765,3,38000,78.94736842105263,0.39215686274509803
Lituania,22719,203,2722000,74.57751653196179,0.8935252431885206
Luxemburgo,22481,185,626000,295.5271565495208,0.8229171300209065
Madagascar,17111,244,27691000,8.811527211007187,1.4259832856057506
Malawi,5948,184,19130000,9.618400418191323,3.093476798924008
Malasia,40209,286,32366000,8.836433294197615,0.7112835434852893
Maldivas,11986,40,541000,73.93715341959334,0.3337226764558652
Mali,3676,137,20251000,6.765098019850871,3.7268770402611535
Malta,7039,74,442000,167.42081447963798,1.0512856939906237
Islas Marshall,1,0,59000,0.0,0.0
Martinica,4215,33,375000,88.0,0.7829181494661922
Mauritania,7725,163,4650000,35.053763440860216,2.110032362459547
Mauricio,452,10,1272000,7.861635220125786,2.2123893805309733
Mayotte,4550,45,273000,164.83516483516485,0.9890109890109889
Mónaco,483,2,39000,51.28205128205128,0.4140786749482402
Mongolia,362,0,3278000,0.0,0.0
Montenegro,22697,333,628000,530.2547770700636,1.4671542494602812
Montserrat,13,1,5000,200.0,7.6923076923076925
Marruecos,256781,4272,36911000,115.73785592370838,1.6636744930504983
Mozambique,13577,99,31255000,3.167493201087826,0.7291743389555867
Myanmar,61377,1420,54410000,26.098143723580225,2.3135702298906757
Namibia,13170,134,2541000,52.73514364423455,1.0174639331814732
Nauru,0,0,11000,0.0,
Nepal,194453,1108,29137000,38.027250574870436,0.5698035000745681
Países Bajos,403914,7950,17135000,463.96264954770936,1.9682407641230562
Nueva Caledonia,29,0,285000,0.0,0.0
Nueva Zelanda,1630,25,4822000,5.184570717544587,1.5337423312883436
Nicaragua,4480,157,6625000,23.69811320754717,3.5044642857142856
Níger,1242,69,24207000,2.850415169165944,5.555555555555555
Nigeria,63790,1156,206140000,5.607839332492481,1.8121962690076814
Niue,0,0,2000,0.0,
Noruega,23225,285,5421000,52.57332595462092,1.2271259418729819
Omán,118140,1301,5107000,254.74838457019774,1.1012358219062128
Pakistán,343189,6968,220892000,31.544827336435908,2.0303681062038703
Palau,0,0,18000,0.0,
Panamá,138506,2781,4315000,644.4959443800695,2.0078552553679985
Papúa Nueva Guinea,599,7,8947000,0.782385157035878,1.1686143572621035
Paraguay,66941,1479,7133000,207.34613766998459,2.2094082849076053
Perú,920010,34840,32972000,1056.6541307776297,3.7869153596156564
Filipinas,396395,7539,109581000,68.79842308429382,1.9018907907516494
Polonia,521640,7636,37847000,201.7597167543002,1.4638447971781305
Portugal,173540,2848,10197000,279.2978326958909,1.641120202835081
Puerto Rico,72065,872,2861000,304.78853547710594,1.2100187330881842
Katar,134203,232,2881000,80.52759458521348,0.17287243951327466
